coc,College,Max OC Cut-off,Select,Select all,Weight,Location,Loc Selected,Branch Selected,Loc/Branch Fliter
3843,M R K Institute Of Technology,164.655,FALSE,FALSE,68,Cuddalore,FALSE,TRUE,FALSE
1605,Idhaya Engineering College For Women,164.535,FALSE,FALSE,68,Kallakurichi,FALSE,TRUE,FALSE
4669,Thamirabharani Engineering College,164.515,FALSE,FALSE,68,Tirunelveli,FALSE,TRUE,FALSE
2627,Selvam College Of Technology,164.3,FALSE,FALSE,68,Namakkal,FALSE,TRUE,FALSE
4957,Jayaraj Annapackiam Csi College Of Engineering,164.13,FALSE,FALSE,68,Thoothukudi,FALSE,TRUE,FALSE
4946,D M I Engineering College,164.04,FALSE,FALSE,68,Kanyakumari,FALSE,TRUE,FALSE
1523,Global Institute Of Engineering And Technology,163.81,FALSE,FALSE,68,Ranipet,FALSE,TRUE,FALSE
2630,Chettinad College Of Engineering And Technology,163.78,FALSE,FALSE,68,Karur,FALSE,TRUE,FALSE
3846,Mother Terasa College Of Engineering And Technology,153.46,FALSE,FALSE,73,Pudukkottai,TRUE,TRUE,TRUE
3462,Ariyalur Engineering College,153.21,FALSE,FALSE,73,Ariyalur,TRUE,TRUE,TRUE
2705,C S I College Of Engineering,163.395,FALSE,FALSE,68,Nilgiris,FALSE,TRUE,FALSE
1124,Sams College Of Engineering And Technology,163.385,FALSE,FALSE,68,Thiruvallur,TRUE,FALSE,FALSE
1333,Vi Institute Of Technology,163,FALSE,FALSE,69,Chengalpattu,FALSE,TRUE,FALSE
4989,P S N Engineering College,162.955,FALSE,FALSE,69,Tirunelveli,FALSE,TRUE,FALSE
2650,Christ The King Engineering College,152.01,FALSE,FALSE,74,Coimbatore,TRUE,TRUE,TRUE
5988,Theni Kammavar Sangam College Of Technology,162.68,FALSE,FALSE,69,Theni,FALSE,TRUE,FALSE
4969,Scad College Of Engineering And Technology,162.595,FALSE,FALSE,69,Tirunelveli,FALSE,TRUE,FALSE
5914,Solaimalai College Of Engineerig,162.57,FALSE,FALSE,69,Madurai,FALSE,TRUE,FALSE
2314,Muthayammal College Of Engineering,162.5,FALSE,FALSE,69,Namakkal,FALSE,TRUE,FALSE
5720,Sri Subramanya College Of Engineering And Technology,162.5,FALSE,FALSE,69,Dindigul,FALSE,TRUE,FALSE
5536,Mangayarkarasi College Of Engineering,162.495,FALSE,FALSE,69,Madurai,FALSE,TRUE,FALSE
1133,Annai Veilankannis College Of Engineering,149.945,FALSE,FALSE,75,Chennai,TRUE,TRUE,TRUE
4994,J P College Of Engineering,162.42,FALSE,FALSE,69,Tenkasi,FALSE,TRUE,FALSE
4964,Psn College Of Engineering And  Technology And Science,162.22,FALSE,FALSE,69,Tirunelveli,FALSE,TRUE,FALSE
2639,Narasus Sarathy Institute Of Technology,162.175,FALSE,FALSE,69,Salem,FALSE,TRUE,FALSE
3814,P R Engineering College,149.21,FALSE,FALSE,75,Thanjavur,TRUE,TRUE,TRUE
2646,Tagore Institute Of Engineering And Technology,161.91,FALSE,FALSE,69,Salem,FALSE,TRUE,FALSE
4992,Bethlahem Institute Of Engineering,161.86,FALSE,FALSE,69,Kanyakumari,FALSE,TRUE,FALSE
